"SUBJID"	"COUNTRY_SELF"
1563	"Swiss French"
666	"Swiss French"
2240	"Swiss French"
185	"Swiss French"
71	"Swiss French"
256	"Swiss French"
1252	"Swiss French"
1582	"Swiss French"
702	"Swiss French"
481	"Swiss French"
1254	"Swiss French"
1298	"Swiss French"
2032	"Swiss French"
860	"Swiss French"
908	"Swiss French"
1014	"Swiss French"
1093	"Swiss French"
1792	"Swiss French"
1042	"Swiss French"
1448	"Swiss French"
774	"Swiss French"
614	"Swiss French"
849	"Swiss French"
717	"Swiss French"
104	"Swiss French"
2120	"Swiss French"
1321	"Swiss French"
1616	"Swiss French"
1404	"Swiss French"
521	"Swiss French"
1509	"Swiss French"
536	"Swiss French"
362	"Swiss French"
718	"Swiss French"
2134	"Swiss French"
1082	"Swiss French"
778	"Swiss French"
2140	"Swiss French"
621	"Swiss French"
1470	"Swiss French"
1397	"Swiss French"
1342	"Swiss French"
1628	"Swiss French"
1139	"Swiss French"
1518	"Swiss French"
1442	"Swiss French"
714	"Swiss French"
947	"Swiss French"
1659	"Swiss French"
2195	"Swiss French"
187	"Swiss French"
770	"Swiss French"
1859	"Swiss French"
283	"Swiss French"
980	"Swiss French"
1862	"Swiss French"
1488	"Swiss French"
596	"Swiss French"
162	"Swiss French"
298	"Swiss French"
386	"Swiss French"
1126	"Swiss French"
1672	"Swiss French"
1468	"Swiss French"
2148	"Swiss French"
1600	"Swiss French"
1268	"Swiss French"
807	"Swiss French"
872	"Swiss French"
375	"Swiss French"
582	"Swiss French"
314	"Swiss French"
597	"Swiss French"
625	"Swiss French"
2150	"Swiss French"
374	"Swiss French"
1491	"Swiss French"
1724	"Swiss French"
814	"Swiss French"
1641	"Swiss French"
460	"Swiss French"
1770	"Swiss French"
315	"Swiss French"
832	"Swiss French"
830	"Swiss French"
603	"Swiss French"
1890	"Swiss French"
1357	"Swiss French"
704	"Swiss French"
1947	"Swiss French"
1174	"Swiss French"
30	"Swiss French"
128	"Swiss French"
1638	"Swiss French"
1569	"Swiss French"
1773	"Swiss French"
38	"Swiss French"
2139	"Swiss French"
725	"Swiss French"
1057	"Swiss French"
1963	"Swiss French"
366	"Swiss French"
789	"Swiss French"
403	"Swiss French"
697	"Swiss French"
43	"Swiss French"
809	"Swiss French"
361	"Swiss French"
2162	"Swiss French"
1154	"Swiss French"
838	"Swiss French"
1341	"Swiss French"
280	"Swiss French"
938	"Swiss French"
2234	"Swiss French"
310	"Swiss French"
